week,stock,buy,sell,qty,pnl,pnl_pct
2025-10-13,balkrisind,2218.2,2211.9,6,-90.96,-0.28
2025-10-13,godrejcp,1110.8,1110.6,13,-60.36,-0.02
2025-10-13,hyundai,2383.9,2419.6,6,156.56,1.5
2025-10-13,godrejind,1048.5,1070.6,14,250.06,2.11
2025-10-27,glenmark,1812.7,1843.3,8,186.3,1.69
2025-10-27,dalbharat,2093.2,2130.8,7,204.06,1.8
2025-10-27,hyundai,2273.0,2357.7,6,452.63,3.73
2025-10-27,nlcindia,260.5,252.1,58,-546.66,-3.22
2025-11-10,trent,4283.7,4375.8,3,224.34,2.15
2025-11-10,dixon,14867.0,15307.0,1,379.65,2.96
2025-11-10,eternal,301.45,308.8,50,306.47,2.44
2025-11-10,adanient,2298.36,2408.69,6,605.48,4.8
2025-11-10,godfryphlp,2998.7,3011.4,5,3.4,0.42
2025-11-17,tatainvest,775.25,762.35,19,-303.53,-1.66
2025-11-17,supremeind,3625.7,3591.0,4,-196.53,-0.96
2025-11-17,anthem,665.45,642.85,23,-579.98,-3.4
2025-11-17,waareeener,3301.7,3174.4,4,-561.01,-3.86
2025-11-17,srf,2833.1,2786.4,5,-289.7,-1.65
2025-11-24,supremeind,3432.5,3463.9,4,70.43,0.91
2025-11-24,oberoirlty,1607.1,1662.8,9,442.44,3.47
2025-11-24,pfc,362.65,362.4,41,-69.7,-0.07
2025-11-24,tmpv,358.3,359.25,42,-20.37,0.27
2025-11-24,godrejprop,2046.4,2114.4,7,417.75,3.32
2025-12-01,supremeind,3334.5,3297.4,4,-201.46,-1.11
2025-12-01,ubl,1671.0,1701.2,9,211.1,1.81
2025-12-01,lodha,1128.2,1103.9,13,-373.93,-2.15
2025-12-01,fortis,904.85,898.25,16,-163.3,-0.73
2025-12-01,cgpower,669.75,664.2,22,-180.79,-0.83
2025-12-08,niacl,156.29,160.23,96,317.47,2.52
2025-12-08,bajajhfl,93.65,96.23,161,354.24,2.75
2025-12-08,sjvn,71.24,73.85,212,491.8,3.66
2025-12-08,tiindia,2566.8,2627.9,5,253.55,2.38
2025-12-08,ireda,131.21,133.02,115,147.38,1.38
2025-12-15,itchotels,190.76,191.97,80,35.56,0.63
2025-12-15,sjvn,72.42,71.7,212,-213.75,-0.99
2025-12-15,kprmill,970.0,965.2,15,-130.06,-0.49
2025-12-15,awl,246.35,241.45,62,-364.29,-1.99
2025-12-15,cochinship,1587.6,1502.8,9,-818.83,-5.34
2025-12-22,enrin,2616.5,2595.5,5,-157.12,-0.8
2025-12-22,niacl,153.47,150.49,98,-351.62,-1.94
2025-12-22,premierene,885.7,886.65,17,-44.11,0.11
2025-12-22,atgl,568.7,565.2,26,-149.96,-0.62
2025-12-29,iob,33.84,36.13,443,952.48,6.77
2025-12-29,dixon,11857.0,12102.0,1,197.08,2.07
2025-12-29,coforge,1683.3,1663.0,8,-215.94,-1.21
2025-12-29,acc,1725.2,1737.7,8,44.59,0.72
2025-12-29,enrin,2578.5,2560.1,5,-143.39,-0.71
2026-01-05,premierene,787.75,752.05,19,-736.81,-4.53
2026-01-05,aparinds,8172.5,8184.0,1,-21.21,0.14
2026-01-05,godfryphlp,2263.3,2160.2,6,-671.68,-4.56
2026-01-05,itc,349.7,341.25,43,-422.77,-2.42
2026-01-05,jublfood,539.05,537.4,28,-106.48,-0.31
2026-01-12,awl,219.82,217.91,67,-186.63,-0.87
2026-01-12,lgeindia,1389.3,1391.7,10,-31.62,0.17
2026-01-12,gvt_d,2718.2,2796.0,5,333.86,2.86
2026-01-12,ubl,1517.2,1519.6,9,-33.06,0.16
2026-01-12,radico,2831.8,2907.4,5,320.61,2.67
2026-01-19,ltts,3870.0,3898.7,3,39.49,0.74
